 1: 6618.695801, 6618.695801 avg loss, 0.000000 rate, 25.043860 seconds, 64 images
 2: 6620.539551, 6618.880371 avg loss, 0.000000 rate, 25.649355 seconds, 128 images
 3: 6618.843262, 6618.876465 avg loss, 0.000000 rate, 25.847011 seconds, 192 images
 4: 6620.002930, 6618.989258 avg loss, 0.000000 rate, 26.051240 seconds, 256 images
 5: 6617.821289, 6618.872559 avg loss, 0.000000 rate, 25.679292 seconds, 320 images
 6: 6618.822754, 6618.867676 avg loss, 0.000000 rate, 25.619806 seconds, 384 images
 7: 6617.399902, 6618.720703 avg loss, 0.000000 rate, 25.836227 seconds, 448 images
 8: 6615.967773, 6618.445312 avg loss, 0.000000 rate, 25.892025 seconds, 512 images
 9: 6616.687500, 6618.269531 avg loss, 0.000000 rate, 25.934187 seconds, 576 images
 10: 6611.934570, 6617.636230 avg loss, 0.000000 rate, 25.664422 seconds, 640 images
 11: 2212.384033, 6177.110840 avg loss, 0.000000 rate, 9.009021 seconds, 704 images
 12: 2210.975342, 5780.497070 avg loss, 0.000000 rate, 9.267532 seconds, 768 images
 13: 2206.963867, 5423.143555 avg loss, 0.000000 rate, 9.278264 seconds, 832 images
 14: 2203.226074, 5101.151855 avg loss, 0.000000 rate, 9.227634 seconds, 896 images
 15: 2198.678711, 4810.904297 avg loss, 0.000000 rate, 9.282071 seconds, 960 images
 16: 2191.283447, 4548.942383 avg loss, 0.000000 rate, 9.294128 seconds, 1024 images
 17: 2182.607178, 4312.309082 avg loss, 0.000000 rate, 9.338143 seconds, 1088 images
 18: 2172.177246, 4098.295898 avg loss, 0.000000 rate, 9.236076 seconds, 1152 images
 19: 2158.921875, 3904.358398 avg loss, 0.000000 rate, 9.213049 seconds, 1216 images
 20: 2144.464600, 3728.369141 avg loss, 0.000000 rate, 9.165620 seconds, 1280 images
 21: 6351.243652, 3990.656494 avg loss, 0.000000 rate, 25.170800 seconds, 1344 images
 22: 6277.815430, 4219.372559 avg loss, 0.000000 rate, 25.779725 seconds, 1408 images
 23: 6184.791504, 4415.914551 avg loss, 0.000000 rate, 25.920530 seconds, 1472 images
 24: 6065.772461, 4580.900391 avg loss, 0.000000 rate, 26.130468 seconds, 1536 images
 25: 5910.446777, 4713.854980 avg loss, 0.000000 rate, 25.689432 seconds, 1600 images
 26: 5733.303711, 4815.799805 avg loss, 0.000000 rate, 25.670773 seconds, 1664 images
 27: 5513.162109, 4885.536133 avg loss, 0.000000 rate, 26.092260 seconds, 1728 images
 28: 5249.931641, 4921.975586 avg loss, 0.000000 rate, 25.961226 seconds, 1792 images
 29: 4966.536133, 4926.431641 avg loss, 0.000000 rate, 25.644534 seconds, 1856 images
 30: 4646.649902, 4898.453613 avg loss, 0.000000 rate, 25.837417 seconds, 1920 images
 31: 3026.743408, 4711.282715 avg loss, 0.000000 rate, 17.820207 seconds, 1984 images
 32: 2754.877686, 4515.642090 avg loss, 0.000000 rate, 18.341571 seconds, 2048 images
 33: 2484.281006, 4312.505859 avg loss, 0.000000 rate, 18.176763 seconds, 2112 images
 34: 2196.415771, 4100.896973 avg loss, 0.000000 rate, 18.039348 seconds, 2176 images
 35: 1938.495361, 3884.656738 avg loss, 0.000000 rate, 18.047018 seconds, 2240 images
 36: 1664.325684, 3662.623535 avg loss, 0.000000 rate, 18.193617 seconds, 2304 images
 37: 1428.383057, 3439.199463 avg loss, 0.000000 rate, 18.234139 seconds, 2368 images
 38: 1203.132812, 3215.592773 avg loss, 0.000000 rate, 18.279007 seconds, 2432 images
 39: 997.778870, 2993.811279 avg loss, 0.000000 rate, 18.073784 seconds, 2496 images
 40: 830.943481, 2777.524414 avg loss, 0.000000 rate, 18.016449 seconds, 2560 images
 41: 681.824707, 2567.954346 avg loss, 0.000000 rate, 17.711359 seconds, 2624 images
 42: 559.318176, 2367.090820 avg loss, 0.000000 rate, 18.223533 seconds, 2688 images
 43: 467.233673, 2177.105225 avg loss, 0.000000 rate, 18.327236 seconds, 2752 images
 44: 392.385559, 1998.633301 avg loss, 0.000000 rate, 18.155154 seconds, 2816 images
 45: 333.792084, 1832.149170 avg loss, 0.000000 rate, 17.998938 seconds, 2880 images
 46: 289.663177, 1677.900513 avg loss, 0.000000 rate, 18.052627 seconds, 2944 images
 47: 254.399994, 1535.550415 avg loss, 0.000000 rate, 18.278002 seconds, 3008 images
 48: 223.026550, 1404.297974 avg loss, 0.000000 rate, 18.259514 seconds, 3072 images
 49: 200.590897, 1283.927246 avg loss, 0.000000 rate, 18.189548 seconds, 3136 images
 50: 181.069580, 1173.641479 avg loss, 0.000000 rate, 18.028555 seconds, 3200 images
 51: 164.255112, 1072.702881 avg loss, 0.000000 rate, 17.657667 seconds, 3264 images
 52: 150.361710, 980.468750 avg loss, 0.000000 rate, 18.149643 seconds, 3328 images
 53: 136.884674, 896.110352 avg loss, 0.000000 rate, 18.164094 seconds, 3392 images
 54: 124.537613, 818.953064 avg loss, 0.000000 rate, 18.211460 seconds, 3456 images
 55: 113.419952, 748.399780 avg loss, 0.000000 rate, 18.092195 seconds, 3520 images
 56: 102.949448, 683.854736 avg loss, 0.000000 rate, 18.061970 seconds, 3584 images
 57: 92.303650, 624.699646 avg loss, 0.000000 rate, 18.099805 seconds, 3648 images
 58: 83.539818, 570.583679 avg loss, 0.000000 rate, 18.142681 seconds, 3712 images
 59: 74.272812, 520.952576 avg loss, 0.000000 rate, 18.242526 seconds, 3776 images
 60: 67.227066, 475.580017 avg loss, 0.000001 rate, 18.113388 seconds, 3840 images
 61: 34.305653, 431.452576 avg loss, 0.000001 rate, 10.464828 seconds, 3904 images
 62: 30.482222, 391.355530 avg loss, 0.000001 rate, 10.657318 seconds, 3968 images
 63: 27.434229, 354.963409 avg loss, 0.000001 rate, 10.729393 seconds, 4032 images
 64: 24.574034, 321.924469 avg loss, 0.000001 rate, 10.726667 seconds, 4096 images
 65: 22.189785, 291.950989 avg loss, 0.000001 rate, 10.804036 seconds, 4160 images
 66: 20.110048, 264.766907 avg loss, 0.000001 rate, 10.848214 seconds, 4224 images
 67: 17.748020, 240.065018 avg loss, 0.000001 rate, 10.810463 seconds, 4288 images
 68: 16.555128, 217.714035 avg loss, 0.000001 rate, 10.883789 seconds, 4352 images
 69: 14.568265, 197.399460 avg loss, 0.000001 rate, 10.886552 seconds, 4416 images
 70: 13.128429, 178.972351 avg loss, 0.000001 rate, 10.762635 seconds, 4480 images
 71: 9.914631, 162.066574 avg loss, 0.000001 rate, 8.944218 seconds, 4544 images
 72: 9.975256, 146.857437 avg loss, 0.000001 rate, 9.164526 seconds, 4608 images
 73: 8.841881, 133.055878 avg loss, 0.000001 rate, 9.194061 seconds, 4672 images
 74: 7.775348, 120.527824 avg loss, 0.000001 rate, 9.172600 seconds, 4736 images
 75: 7.319166, 109.206955 avg loss, 0.000001 rate, 9.236039 seconds, 4800 images
 76: 6.289533, 98.915215 avg loss, 0.000001 rate, 9.290606 seconds, 4864 images
 77: 6.262902, 89.649986 avg loss, 0.000001 rate, 9.209931 seconds, 4928 images
 78: 6.286419, 81.313629 avg loss, 0.000001 rate, 9.287287 seconds, 4992 images
 79: 5.519638, 73.734230 avg loss, 0.000002 rate, 9.289029 seconds, 5056 images
 80: 5.708827, 66.931686 avg loss, 0.000002 rate, 9.244650 seconds, 5120 images
 81: 8.492631, 61.087780 avg loss, 0.000002 rate, 20.451019 seconds, 5184 images
 82: 7.728486, 55.751850 avg loss, 0.000002 rate, 20.864239 seconds, 5248 images
 83: 7.052979, 50.881962 avg loss, 0.000002 rate, 21.025832 seconds, 5312 images
 84: 6.721028, 46.465870 avg loss, 0.000002 rate, 21.090331 seconds, 5376 images
 85: 6.008723, 42.420155 avg loss, 0.000002 rate, 20.892984 seconds, 5440 images
 86: 6.293142, 38.807453 avg loss, 0.000002 rate, 20.879732 seconds, 5504 images
 87: 5.385774, 35.465286 avg loss, 0.000002 rate, 21.011507 seconds, 5568 images
 88: 5.450193, 32.463776 avg loss, 0.000002 rate, 20.940546 seconds, 5632 images
 89: 4.463050, 29.663704 avg loss, 0.000002 rate, 21.008426 seconds, 5696 images
 90: 4.854342, 27.182768 avg loss, 0.000003 rate, 20.803405 seconds, 5760 images
 91: 3.951583, 24.859650 avg loss, 0.000003 rate, 13.694768 seconds, 5824 images
 92: 3.157267, 22.689411 avg loss, 0.000003 rate, 14.178259 seconds, 5888 images
 93: 2.850127, 20.705482 avg loss, 0.000003 rate, 14.130952 seconds, 5952 images
 94: 3.145085, 18.949442 avg loss, 0.000003 rate, 14.201150 seconds, 6016 images
 95: 2.905016, 17.344999 avg loss, 0.000003 rate, 14.200963 seconds, 6080 images
 96: 3.178198, 15.928319 avg loss, 0.000003 rate, 14.084680 seconds, 6144 images
