 1: 5161.497070, 5161.497070 avg loss, 0.000000 rate, 25.404530 seconds, 64 images
 2: 5156.651367, 5161.012695 avg loss, 0.000000 rate, 25.880976 seconds, 128 images
 3: 5164.618164, 5161.373047 avg loss, 0.000000 rate, 25.805256 seconds, 192 images
 4: 5173.210449, 5162.556641 avg loss, 0.000000 rate, 25.674734 seconds, 256 images
 5: 5170.425293, 5163.343750 avg loss, 0.000000 rate, 25.951142 seconds, 320 images
 6: 5171.316895, 5164.141113 avg loss, 0.000000 rate, 26.158872 seconds, 384 images
 7: 5165.420410, 5164.269043 avg loss, 0.000000 rate, 25.702382 seconds, 448 images
 8: 5163.908203, 5164.232910 avg loss, 0.000000 rate, 25.668435 seconds, 512 images
 9: 5154.316406, 5163.241211 avg loss, 0.000000 rate, 26.031971 seconds, 576 images
 10: 5161.112305, 5163.028320 avg loss, 0.000000 rate, 26.066689 seconds, 640 images
 11: 2800.031006, 4926.728516 avg loss, 0.000000 rate, 13.840636 seconds, 704 images
 12: 2796.960938, 4713.751953 avg loss, 0.000000 rate, 14.019338 seconds, 768 images
 13: 2792.563477, 4521.633301 avg loss, 0.000000 rate, 13.987900 seconds, 832 images
 14: 2789.825195, 4348.452637 avg loss, 0.000000 rate, 14.022016 seconds, 896 images
 15: 2783.182617, 4191.925781 avg loss, 0.000000 rate, 14.116658 seconds, 960 images
 16: 2771.379150, 4049.871094 avg loss, 0.000000 rate, 14.141390 seconds, 1024 images
 17: 2762.400146, 3921.124023 avg loss, 0.000000 rate, 14.207236 seconds, 1088 images
 18: 2741.870850, 3803.198730 avg loss, 0.000000 rate, 14.170912 seconds, 1152 images
 19: 2724.849365, 3695.363770 avg loss, 0.000000 rate, 14.165549 seconds, 1216 images
 20: 2701.455078, 3595.972900 avg loss, 0.000000 rate, 14.046970 seconds, 1280 images
 21: 1962.085571, 3432.584229 avg loss, 0.000000 rate, 10.558514 seconds, 1344 images
 22: 1939.968018, 3283.322510 avg loss, 0.000000 rate, 10.779510 seconds, 1408 images
 23: 1913.926025, 3146.382812 avg loss, 0.000000 rate, 10.835094 seconds, 1472 images
 24: 1888.590454, 3020.603516 avg loss, 0.000000 rate, 10.843638 seconds, 1536 images
 25: 1854.294067, 2903.972656 avg loss, 0.000000 rate, 10.860505 seconds, 1600 images
 26: 1813.365112, 2794.911865 avg loss, 0.000000 rate, 10.869913 seconds, 1664 images
 27: 1762.225464, 2691.643311 avg loss, 0.000000 rate, 10.895122 seconds, 1728 images
 28: 1721.650757, 2594.644043 avg loss, 0.000000 rate, 10.885639 seconds, 1792 images
 29: 1657.401245, 2500.919678 avg loss, 0.000000 rate, 10.802188 seconds, 1856 images
 30: 1594.446289, 2410.272461 avg loss, 0.000000 rate, 10.729978 seconds, 1920 images
 31: 3449.981689, 2514.243408 avg loss, 0.000000 rate, 22.639231 seconds, 1984 images
 32: 3273.847168, 2590.203857 avg loss, 0.000000 rate, 23.202622 seconds, 2048 images
 33: 3095.745605, 2640.758057 avg loss, 0.000000 rate, 23.557596 seconds, 2112 images
 34: 2879.008301, 2664.583008 avg loss, 0.000000 rate, 23.329267 seconds, 2176 images
 35: 2639.280029, 2662.052734 avg loss, 0.000000 rate, 23.380096 seconds, 2240 images
 36: 2374.454590, 2633.292969 avg loss, 0.000000 rate, 23.171371 seconds, 2304 images
 37: 2091.592529, 2579.123047 avg loss, 0.000000 rate, 23.451510 seconds, 2368 images
 38: 1845.131592, 2505.723877 avg loss, 0.000000 rate, 23.435090 seconds, 2432 images
 39: 1595.419556, 2414.693359 avg loss, 0.000000 rate, 23.428968 seconds, 2496 images
 40: 1353.506714, 2308.574707 avg loss, 0.000000 rate, 23.124482 seconds, 2560 images
 41: 588.043762, 2136.521729 avg loss, 0.000000 rate, 12.265863 seconds, 2624 images
 42: 489.336945, 1971.803223 avg loss, 0.000000 rate, 12.678270 seconds, 2688 images
 43: 409.324860, 1815.555420 avg loss, 0.000000 rate, 12.665794 seconds, 2752 images
 44: 347.180939, 1668.718018 avg loss, 0.000000 rate, 12.754682 seconds, 2816 images
 45: 292.478760, 1531.094116 avg loss, 0.000000 rate, 12.721562 seconds, 2880 images
 46: 255.308426, 1403.515503 avg loss, 0.000000 rate, 12.663560 seconds, 2944 images
 47: 220.114197, 1285.175415 avg loss, 0.000000 rate, 12.547990 seconds, 3008 images
 48: 192.852905, 1175.943115 avg loss, 0.000000 rate, 12.547375 seconds, 3072 images
 49: 172.389984, 1075.587769 avg loss, 0.000000 rate, 12.579797 seconds, 3136 images
 50: 153.374161, 983.366394 avg loss, 0.000000 rate, 12.564905 seconds, 3200 images
 51: 101.342880, 895.164062 avg loss, 0.000000 rate, 9.116919 seconds, 3264 images
 52: 92.157951, 814.863464 avg loss, 0.000000 rate, 9.270115 seconds, 3328 images
 53: 85.064354, 741.883545 avg loss, 0.000000 rate, 9.268852 seconds, 3392 images
 54: 78.846230, 675.579834 avg loss, 0.000000 rate, 9.315770 seconds, 3456 images
 55: 72.380501, 615.259888 avg loss, 0.000000 rate, 9.314073 seconds, 3520 images
 56: 66.763084, 560.410217 avg loss, 0.000000 rate, 9.227979 seconds, 3584 images
 57: 61.903702, 510.559570 avg loss, 0.000000 rate, 9.162745 seconds, 3648 images
 58: 58.155479, 465.319153 avg loss, 0.000000 rate, 9.193570 seconds, 3712 images
 59: 53.989777, 424.186218 avg loss, 0.000000 rate, 9.246190 seconds, 3776 images
 60: 50.485588, 386.816162 avg loss, 0.000001 rate, 9.196816 seconds, 3840 images
 61: 72.338638, 355.368408 avg loss, 0.000001 rate, 13.883708 seconds, 3904 images
 62: 66.533440, 326.484924 avg loss, 0.000001 rate, 14.073922 seconds, 3968 images
 63: 61.246555, 299.961090 avg loss, 0.000001 rate, 14.203880 seconds, 4032 images
 64: 55.092701, 275.474243 avg loss, 0.000001 rate, 14.048129 seconds, 4096 images
 65: 50.329247, 252.959747 avg loss, 0.000001 rate, 13.980820 seconds, 4160 images
 66: 46.122059, 232.275986 avg loss, 0.000001 rate, 13.993686 seconds, 4224 images
 67: 41.442982, 213.192688 avg loss, 0.000001 rate, 14.046507 seconds, 4288 images
 68: 37.589169, 195.632339 avg loss, 0.000001 rate, 14.183444 seconds, 4352 images
 69: 33.061859, 179.375290 avg loss, 0.000001 rate, 14.060264 seconds, 4416 images
 70: 30.535446, 164.491302 avg loss, 0.000001 rate, 14.163046 seconds, 4480 images
 71: 43.581211, 152.400299 avg loss, 0.000001 rate, 22.988416 seconds, 4544 images
 72: 36.891815, 140.849457 avg loss, 0.000001 rate, 23.094831 seconds, 4608 images
 73: 32.112930, 129.975800 avg loss, 0.000001 rate, 23.152098 seconds, 4672 images
 74: 28.220564, 119.800278 avg loss, 0.000001 rate, 23.371402 seconds, 4736 images
 75: 23.983347, 110.218582 avg loss, 0.000001 rate, 23.388359 seconds, 4800 images
 76: 20.521696, 101.248894 avg loss, 0.000001 rate, 23.138553 seconds, 4864 images
 77: 17.592833, 92.883286 avg loss, 0.000001 rate, 23.112350 seconds, 4928 images
 78: 14.721602, 85.067116 avg loss, 0.000001 rate, 23.427966 seconds, 4992 images
 79: 13.327507, 77.893158 avg loss, 0.000002 rate, 23.408436 seconds, 5056 images
 80: 12.045244, 71.308365 avg loss, 0.000002 rate, 23.328210 seconds, 5120 images
 81: 9.339501, 65.111481 avg loss, 0.000002 rate, 22.556444 seconds, 5184 images
 82: 8.811233, 59.481457 avg loss, 0.000002 rate, 23.325578 seconds, 5248 images
 83: 6.986046, 54.231915 avg loss, 0.000002 rate, 23.420490 seconds, 5312 images
 84: 7.812346, 49.589958 avg loss, 0.000002 rate, 23.403379 seconds, 5376 images
 85: 5.266309, 45.157593 avg loss, 0.000002 rate, 23.146915 seconds, 5440 images
 86: 4.948368, 41.136669 avg loss, 0.000002 rate, 23.356173 seconds, 5504 images
 87: 4.048719, 37.427876 avg loss, 0.000002 rate, 23.412958 seconds, 5568 images
 88: 4.360423, 34.121132 avg loss, 0.000002 rate, 23.409371 seconds, 5632 images
 89: 3.213741, 31.030394 avg loss, 0.000002 rate, 23.151726 seconds, 5696 images
 90: 5.615281, 28.488882 avg loss, 0.000003 rate, 23.457201 seconds, 5760 images
 91: 2.905187, 25.930513 avg loss, 0.000003 rate, 13.787684 seconds, 5824 images
 92: 2.487335, 23.586195 avg loss, 0.000003 rate, 14.171282 seconds, 5888 images
 93: 2.258433, 21.453419 avg loss, 0.000003 rate, 14.031153 seconds, 5952 images
 94: 3.784199, 19.686497 avg loss, 0.000003 rate, 14.041648 seconds, 6016 images
 95: 3.785779, 18.096424 avg loss, 0.000003 rate, 14.080493 seconds, 6080 images
 96: 2.728724, 16.559654 avg loss, 0.000003 rate, 14.102590 seconds, 6144 images
 97: 2.172855, 15.120975 avg loss, 0.000003 rate, 14.132797 seconds, 6208 images
 98: 2.066717, 13.815549 avg loss, 0.000004 rate, 14.066502 seconds, 6272 images
 99: 2.500722, 12.684066 avg loss, 0.000004 rate, 14.243657 seconds, 6336 images
